feature,target,r_all,sign_all,r_natural21,sign_nat,r_partial_nres,loo_worst,loo_min,loo_max
frac_E,abs_b_p,0.04057990389371202,9,-0.0018123918808376827,4,-0.10842908951744405,-0.04017401134393289,-0.04017401134393289,0.31946244247760347
frac_E,ddg_pcc,0.07698386286497313,8,0.08195703941126056,7,0.2632757893784131,-0.13391564725931504,-0.13391564725931504,0.12598591362128833
frac_C,a_p,0.37761787129693514,10,0.2997972701562354,10,0.4721725884236462,0.3204857149468764,0.3204857149468764,0.44299527062141475
frac_C,b_p,0.1360220335403878,10,0.24679356518591597,10,0.18787637092658863,0.0829471663693748,0.0829471663693748,0.20164638519634243
frac_C,abs_b_p,-0.09771402448436275,7,-0.08675612837415485,7,-0.18976511417682138,-0.03822510250767437,-0.17126002490497555,-0.03822510250767437
frac_C,ddg_pcc,-0.0370625025580643,9,-0.12397778470630232,10,0.04750838488774467,0.03936259780314867,-0.16035775036180341,0.03936259780314867
n_helix_seg,a_p,-0.22292880642522678,10,-0.11668286328230792,10,-0.29979726826622594,-0.10137685068409226,-0.3021347159782225,-0.10137685068409226
n_helix_seg,b_p,-0.40766406926132515,10,-0.3913790454068381,10,-0.4735936351392807,-0.22922782515939547,-0.5428971694595728,-0.22922782515939547
n_helix_seg,abs_b_p,0.18606519012313133,10,0.2509740595849313,9,0.27822180199744717,-0.12899883395636286,-0.12899883395636286,0.290096733555199
n_helix_seg,ddg_pcc,-0.21223661451531856,10,-0.2560213845440845,10,-0.31210888613358506,0.06636315472026191,-0.29639179416793215,0.06636315472026191
mean_helix_len,a_p,-0.055723122626970344,9,0.002783827563368517,5,-0.16899671701862215,-0.011945234805234775,-0.1167091222649109,-0.011945234805234775
mean_helix_len,b_p,-0.07481963232866869,7,-0.18908278240121848,10,-0.15154301080246252,-0.007513305932018191,-0.20000247018082998,-0.007513305932018191
mean_helix_len,abs_b_p,-0.03833667358499209,8,-0.07596293371940568,8,0.0860249761149489,0.06589737084763352,-0.11771125933458033,0.06589737084763352
mean_helix_len,ddg_pcc,0.12306486043489431,9,0.16668695260389557,9,0.0034637043018218147,0.05360493904428012,0.05360493904428012,0.21688800365663513
n_strand_seg,a_p,0.016729962039309935,6,-0.16797430237273134,10,0.20270983948783877,-0.07338456176350225,-0.07338456176350225,0.08446647824539907
n_strand_seg,b_p,0.18873485098379048,10,0.1952595103572712,10,0.3648096612734623,0.04905602529423197,0.04905602529423197,0.3092432033432114
n_strand_seg,abs_b_p,-0.02494774408578287,4,-0.027396600144337924,6,-0.2563742520997544,0.19913054105402764,-0.11875284959209254,0.19913054105402764
n_strand_seg,ddg_pcc,0.012589871818243564,7,-0.012623910082252717,4,0.25551170227108566,-0.19558408495377186,-0.19558408495377186,0.08484096880962702
ss_order,a_p,-0.377617871296935,10,-0.2997972701562354,10,-0.472172588423646,-0.32048571494687633,-0.4429952706214147,-0.32048571494687633
ss_order,b_p,-0.13602203354038775,10,-0.24679356518591597,10,-0.18787637092658865,-0.08294716636937477,-0.20164638519634243,-0.08294716636937477
ss_order,abs_b_p,0.09771402448436275,7,0.08675612837415485,7,0.18976511417682146,0.03822510250767438,0.03822510250767438,0.1712600249049756
ss_order,ddg_pcc,0.037062502558064314,9,0.12397778470630225,10,-0.04750838488774466,-0.03936259780314871,-0.03936259780314871,0.1603577503618034
n_hbond,a_p,-0.39443225156343525,10,-0.37155538258001275,10,-0.40134469288837177,-0.2918789829467573,-0.4746366256103462,-0.2918789829467573
n_hbond,b_p,-0.455049367341484,10,-0.47437723328469605,10,-0.46431373250590635,-0.26815903848387634,-0.5510941435847665,-0.26815903848387634
n_hbond,abs_b_p,0.18886802141174722,8,0.23305532352419583,9,0.1932354536694266,-0.16921427106682232,-0.16921427106682232,0.28016570906673444
n_hbond,ddg_pcc,-0.3269157226679048,10,-0.3891093824721238,10,-0.3361508723762463,-0.0523777155751044,-0.38973507091096155,-0.0523777155751044
hbond_per_res,a_p,-0.263540320765956,10,-0.06891966295171417,9,-0.45602891100692444,-0.2013149487234326,-0.3272132287522986,-0.2013149487234326
hbond_per_res,b_p,-0.3193983696273713,10,-0.3240229575188172,10,-0.4732909740649127,-0.23268153654031418,-0.43128022803669913,-0.23268153654031418
hbond_per_res,abs_b_p,-0.004659141902484968,7,0.027394334359590843,5,0.1631095997579854,0.07679021040683856,-0.21007736420890805,0.07679021040683856
