file,protein,N,pct,end,k,hits,rate,chance,enr
abl_anchor_w1.0_s42_e14,1TUC,1043,0.15,top,156,56,0.358974358974359,0.14956855225311602,2.400065746219592
abl_anchor_w1.0_s42_e14,1TUC,1043,0.15,bot,156,97,0.6217948717948718,0.14956855225311602,4.157256738987508
abl_anchor_w1.0_s42_e14,1W4H,801,0.05,top,40,17,0.425,0.049937578027465665,8.510625000000001
abl_anchor_w1.0_s42_e14,1W4H,801,0.05,bot,40,26,0.65,0.049937578027465665,13.016250000000001
abl_anchor_w1.0_s42_e14,1W4H,801,0.1,top,80,30,0.375,0.09987515605493133,3.7546875
abl_anchor_w1.0_s42_e14,1W4H,801,0.1,bot,80,56,0.7,0.09987515605493133,7.00875
abl_anchor_w1.0_s42_e14,1W4H,801,0.15,top,120,51,0.425,0.149812734082397,2.836875
abl_anchor_w1.0_s42_e14,1W4H,801,0.15,bot,120,89,0.7416666666666667,0.149812734082397,4.950625
abl_anchor_w1.0_s42_e14,2BTH,800,0.05,top,40,11,0.275,0.05,5.5
abl_anchor_w1.0_s42_e14,2BTH,800,0.05,bot,40,15,0.375,0.05,7.5
abl_anchor_w1.0_s42_e14,2BTH,800,0.1,top,80,20,0.25,0.1,2.5
abl_anchor_w1.0_s42_e14,2BTH,800,0.1,bot,80,45,0.5625,0.1,5.625
abl_anchor_w1.0_s42_e14,2BTH,800,0.15,top,120,40,0.3333333333333333,0.15,2.2222222222222223
abl_anchor_w1.0_s42_e14,2BTH,800,0.15,bot,120,80,0.6666666666666666,0.15,4.444444444444445
abl_anchor_w1.0_s42_e14,2K1B,933,0.05,top,46,18,0.391304347826087,0.04930332261521972,7.9366729678638945
abl_anchor_w1.0_s42_e14,2K1B,933,0.05,bot,46,23,0.5,0.04930332261521972,10.141304347826088
abl_anchor_w1.0_s42_e14,2K1B,933,0.1,top,93,42,0.45161290322580644,0.09967845659163987,4.530697190426639
abl_anchor_w1.0_s42_e14,2K1B,933,0.1,bot,93,65,0.6989247311827957,0.09967845659163987,7.01179327089837
abl_anchor_w1.0_s42_e14,2K1B,933,0.15,top,139,67,0.48201438848920863,0.1489817792068596,3.2353915428808033
abl_anchor_w1.0_s42_e14,2K1B,933,0.15,bot,139,97,0.697841726618705,0.1489817792068596,4.684074323275193
abl_anchor_w1.0_s42_e14,2K28,919,0.05,top,45,13,0.28888888888888886,0.04896626768226333,5.899753086419753
abl_anchor_w1.0_s42_e14,2K28,919,0.05,bot,45,21,0.4666666666666667,0.04896626768226333,9.53037037037037
abl_anchor_w1.0_s42_e14,2K28,919,0.1,top,91,31,0.34065934065934067,0.09902067464635474,3.440284989735539
abl_anchor_w1.0_s42_e14,2K28,919,0.1,bot,91,47,0.5164835164835165,0.09902067464635474,5.215915952179689
abl_anchor_w1.0_s42_e14,2K28,919,0.15,top,137,58,0.4233576642335766,0.14907508161044614,2.839895572486547
